No,Penyelenggara,Brand,Tahun,Pascabayar,Prabayar,Jumlah
1,"PT. INDOSAT, TBK",INDOSAT,2013,1188000,50525000,51713000
2,PT. TELKOMSEL,SIMPATI/HALO,2013,2187858,104828717,107016575
3,PT. SAMPOERNA TELEKOMUNIKASI INDONESIA,CERIA,2013,11876,213379,225255
4,PT. AXIS TELECOM INDONESIA,AXIS,2013,1828,16780418,16782246
5,PT HUTCHISON CP TELECOMMUNICATION,THREE,2013,90000,19940000,20030000
6,"PT. XL AXIATA, TBK",XL,2013,300000,46100000,46400000
7,PT. SMART TELECOM,SMART,2013,87453,5388016,5475469
8,"PT. SMARTFREN,TBK",SMARTFREN,2013,107771,2055303,2163074
9,"PT. INDOSAT, TBK",INDOSAT,2014,642388,57822165,58464553
10,PT. TELKOMSEL,SIMPATI/HALO,2014,2149000,122997000,125146000
11,PT. SAMPOERNA TELEKOMUNIKASI INDONESIA,CERIA,2014,23470,121186,144656
12,PT. AXIS TELECOM INDONESIA,AXIS,2014,893,14607703,14608596
13,PT HUTCHISON CP TELECOMMUNICATION,THREE,2014,91900,26720000,26811900
14,"PT. XL AXIATA, TBK",XL,2014,355000,45400000,45755000
15,PT. SMART TELECOM,SMART,2014,82940,6961948,7044888
16,"PT. SMARTFREN,TBK",SMARTFREN,2014,107702,3880370,3988072
17,"PT. INDOSAT, TBK",INDOSAT,2015,794627,58785907,59580534
18,PT. TELKOMSEL,SIMPATI/HALO,2015,2489352,129023443,131512795
19,PT. SAMPOERNA TELEKOMUNIKASI INDONESIA,CERIA,2015,38666,74165,112831
20,PT. AXIS TELECOM INDONESIA,AXIS,2015,276,12255232,12255508
21,PT HUTCHISON CP TELECOMMUNICATION,THREE,2015,92600,37800000,37892600
22,"PT. XL AXIATA, TBK",XL,2015,377000,60172000,60549000
23,PT. SMART TELECOM,SMART,2015,77872,5272673,5350545
24,"PT. SMARTFREN,TBK",SMARTFREN,2015,67489,5905612,5973101
25,"PT. INDOSAT, TBK",INDOSAT,2016,900200,84800000,85700200
26,PT. TELKOMSEL,SIMPATI/HALO,2016,4180000,169740000,173920000
27,PT. SAMPOERNA TELEKOMUNIKASI INDONESIA,CERIA,2016,42732,33703,76435
28,PT. AXIS TELECOM INDONESIA,AXIS,2016,135,10137000,10137135
29,PT HUTCHISON CP TELECOMMUNICATION,THREE,2016,110000,54390000,54500000
30,"PT. XL AXIATA, TBK",XL,2016,533000,45941000,46474000
31,PT. SMART TELECOM,SMART,2016,52000,4450000,4502000
32,"PT. SMARTFREN,TBK",SMARTFREN,2016,200000,10865000,11065000
